travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
6.316666666666666,149,AV,0,104,78,954,-6.316666666666666,"0,0,0,0"
4.166666666666667,122,AV,0,78,63,1721,-4.166666666666667,"0,0,0,0"
2.5166666666666666,129,AV,2,94,9,145,-2.5166666666666666,"0,0,0,0"
1.5,221,AV,2,144,18,443,-1.5,"0,0,0,0"
3.9,137,AV,0,99,18,394,-3.9,"0,0,0,0"
4.05,40,AV,3,37,27,1318,-4.05,"0,0,0,0"
2.466666666666667,14,AV,0,14,5,1526,-2.466666666666667,"0,0,0,0"
2.45,134,AV,0,96,68,586,-2.45,"0,0,0,0"
5.95,21,AV,3,21,15,1026,-5.95,"0,0,0,0"
1.2666666666666666,50,AV,1,13,32,731,-1.2666666666666666,"0,0,0,0"
6.133333333333334,18,AV,2,18,16,257,-6.133333333333334,"0,0,0,0"
4.633333333333334,162,AV,0,111,48,1358,-4.633333333333334,"0,0,0,0"
7.383333333333334,19,AV,0,19,17,476,-7.383333333333334,"0,0,0,0"
3.45,184,AV,2,125,52,980,-3.45,"0,0,0,0"
3.3,66,AV,0,53,12,1737,-3.3,"0,0,0,0"
3.4833333333333334,110,AV,3,87,34,487,-3.4833333333333334,"0,0,0,0"
6.383333333333334,34,AV,0,33,5,1615,-6.383333333333334,"0,0,0,0"
4.183333333333334,159,AV,1,110,80,769,-4.183333333333334,"0,0,0,0"
4.65,71,AV,1,58,42,1258,-4.65,"0,0,0,0"
2.6166666666666667,165,AV,1,114,83,986,-2.6166666666666667,"0,0,0,0"
2.5833333333333335,170,AV,3,100,85,162,-2.5833333333333335,"0,0,0,0"
4.25,10,AV,1,10,10,360,-4.25,"0,0,0,0"
4.066666666666666,178,AV,0,91,7,1331,-4.066666666666666,"0,0,0,0"
3.933333333333333,25,AV,0,14,18,1571,-3.933333333333333,"0,0,0,0"
2.4166666666666665,119,AV,2,1,62,798,-2.4166666666666665,"0,0,0,0"
4.75,192,AV,2,84,3,1383,-4.75,"0,0,0,0"
3.9166666666666665,171,AV,0,117,44,763,-3.9166666666666665,"0,0,0,0"
1.45,164,AV,2,113,77,326,-1.45,"0,0,0,0"
4.383333333333334,151,AV,1,106,3,1054,-4.383333333333334,"0,0,0,0"
3.683333333333333,91,AV,3,73,49,1440,-3.683333333333333,"0,0,0,0"
4.933333333333334,77,AV,1,62,5,175,-4.933333333333334,"0,0,0,0"
3.8666666666666667,61,AV,0,36,34,1461,-3.8666666666666667,"0,0,0,0"
3.2666666666666666,202,AV,3,100,44,1192,-3.2666666666666666,"0,0,0,0"
1.0,215,AV,0,141,18,462,-1.0,"0,0,0,0"
3.5833333333333335,94,AV,3,27,18,1027,-3.5833333333333335,"0,0,0,0"
3.6,73,AV,2,49,5,1391,-3.6,"0,0,0,0"
5.55,81,AV,3,66,45,486,-5.55,"0,0,0,0"
6.05,120,AV,3,48,12,688,-6.05,"0,0,0,0"
4.15,41,AV,2,18,2,466,-4.15,"0,0,0,0"
2.533333333333333,208,AV,2,135,18,178,-2.533333333333333,"0,0,0,0"
7.016666666666667,201,AV,3,133,77,1353,-7.016666666666667,"0,0,0,0"
1.1333333333333333,93,AV,0,41,51,1790,-1.1333333333333333,"0,0,0,0"
3.8,143,AV,1,101,75,63,-3.8,"0,0,0,0"
2.9166666666666665,99,AV,1,7,34,395,-2.9166666666666665,"0,0,0,0"
5.1,23,AV,0,23,5,1235,-5.1,"0,0,0,0"
1.5833333333333333,2,AV,0,2,2,1548,-1.5833333333333333,"0,0,0,0"
2.316666666666667,147,AV,1,103,5,772,-2.316666666666667,"0,0,0,0"
4.45,203,AV,3,134,15,1440,-4.45,"0,0,0,0"
7.166666666666667,185,AV,3,35,15,1749,-7.166666666666667,"0,0,0,0"
2.6,33,AV,2,32,25,1187,-2.6,"0,0,0,0"
2.966666666666667,26,AV,2,25,21,958,-2.966666666666667,"0,0,0,0"
2.5,179,AV,1,122,87,1060,-2.5,"0,0,0,0"
4.433333333333334,70,AV,1,57,41,598,-4.433333333333334,"0,0,0,0"
3.9833333333333334,169,AV,1,116,15,399,-3.9833333333333334,"0,0,0,0"
2.9166666666666665,88,AV,0,71,12,593,-2.9166666666666665,"0,0,0,0"
1.5666666666666667,46,AV,1,40,18,234,-1.5666666666666667,"0,0,0,0"
3.4833333333333334,117,AV,2,90,61,143,-3.4833333333333334,"0,0,0,0"
6.55,24,AV,1,24,20,1283,-6.55,"0,0,0,0"
3.816666666666667,85,AV,1,68,46,1436,-3.816666666666667,"0,0,0,0"
2.0833333333333335,128,AV,2,25,29,1444,-2.0833333333333335,"0,0,0,0"
4.716666666666667,101,AV,0,80,53,76,-4.716666666666667,"0,0,0,0"
3.0833333333333335,56,AV,1,47,12,208,-3.0833333333333335,"0,0,0,0"
1.8,156,AV,1,108,63,162,-1.8,"0,0,0,0"
1.5,196,AV,2,130,18,1054,-1.5,"0,0,0,0"
7.066666666666666,108,AV,0,35,20,1129,-7.066666666666666,"0,0,0,0"
2.8833333333333333,220,AV,0,117,15,292,-2.8833333333333333,"0,0,0,0"
2.1333333333333333,0,Human,3,0,0,70,-2.1333333333333333,"-2.01575988146624,-2.478999945781049,-2.631985134696067,-1.8423449684728619"
1.15,1,Human,0,1,1,569,-1.15,"-1.0274595065530423,-1.3509237750011454,-1.1573485561079682,-1.630126663745412"
1.7666666666666666,3,Human,0,3,3,850,-1.7666666666666666,"-1.683511891039822,-2.8311430435961285,-2.7380384684903483,-1.8548708228755677"
4.1,4,Human,2,4,4,1175,-4.1,"-2.5935352274286494,-2.9967247004109066,-3.1873073872010202,-3.3075255967694495"
1.7666666666666666,5,Human,3,5,5,154,-1.7666666666666666,"-1.4350748882203797,-1.6259356776262865,-1.6788911116008678,-1.718939820523216"
5.7,6,Human,2,6,6,637,-5.7,"-5.853489269944431,-5.870820107586561,-5.802067800504579,-6.0063259558798325"
5.1,7,Human,3,7,7,1679,-5.1,"-4.806266122707053,-4.509529183480447,-5.248790080072001,-4.760664109195481"
4.25,8,Human,0,8,8,271,-4.25,"-4.3061421045713395,-4.722648039132141,-4.475846920476124,-4.662074724906723"
3.783333333333333,9,Human,1,9,9,131,-3.783333333333333,"-3.249812735332808,-3.3811366880701272,-4.10445210458284,-3.442371178205282"
3.5166666666666666,11,Human,0,11,11,1541,-3.5166666666666666,"-2.8938682949759365,-3.716093122716713,-3.5600345291633215,-2.806354637009611"
